Q35,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q53,Q54,Q55,Q56,Q57,Q59,Q60,Q63,Q64,Q65,Q66,Q69,Q70,Q32,Q33,Q34,Q20,Q21,Q38,Q8,Q13
3,5,4,3,4,2,2,3,4,2,4,2,4,4,1,1,2,58,6,1,4,1,41,1,2,1,5,2,2,1,1,4,4,4,4,4
1,5,3,3,2,3,4,1,4,2,4,2,3,4,2,2,2,40,6,4,1,4,21,2,2,2,5,2,4,1,1,1,2,3,3,3
5,4,4,3,2,2,4,1,4,1,4,1,4,3,1,2,2,43,5,1,1,4,25,2,2,1,5,2,2,1,4,1,4,3,4,4
3,1,1,1,1,1,1,4,4,1,4,1,4,4,1,2,4,60,3,1,2,3,51,1,2,2,5,2,1,1,1,1,1,3,1,1
4,3,3,2,2,4,3,2,4,2,4,3,3,4,3,1,1,34,4,1,1,4,19,2,1,1,5,2,4,3,4,1,4,4,2,3
2,2,3,3,4,1,1,3,4,2,4,1,2,4,4,1,2,47,7,1,1,5,41,2,1,1,5,2,2,1,2,2,4,5,1,3
2,4,4,2,3,2,2,3,4,1,4,3,1,1,1,1,2,50,6,1,3,4,41,1,2,2,5,2,2,1,1,4,4,5,3,3
1,3,2,3,4,4,1,3,4,1,4,3,1,4,3,1,2,60,3,1,2,3,41,2,2,1,5,2,1,5,3,4,1,5,1,1
1,3,3,4,2,2,3,2,4,1,4,4,4,4,1,1,1,28,4,1,1,4,41,2,2,1,5,2,5,4,5,4,4,1,4,3
1,5,1,1,1,1,3,3,4,4,3,4,4,4,1,1,2,57,4,1,3,4,41,2,2,2,5,2,1,3,4,4,1,1,3,1
1,3,1,3,1,1,1,4,4,1,4,1,4,4,3,2,2,64,4,1,1,99,41,2,1,1,5,2,2,1,3,1,3,5,2,1
1,3,1,2,3,1,3,3,4,4,3,4,4,4,4,1,2,79,5,1,2,1,19,1,2,2,5,2,4,5,3,3,4,5,3,3
